country,tourists,percentage,airplane,train,ship,car,month,year
Λεττονία,0,0.0,0,0,0,0,ΦΕΒ,2011
Λιθουανία,0,0.0,0,0,0,0,ΦΕΒ,2011
Λουξεμβούργο,0,0.0,0,0,0,0,ΦΕΒ,2011
Μάλτα,0,0.0,0,0,0,0,ΦΕΒ,2011
Ολλανδία,6907,1.905,6436,0,471,0,ΦΕΒ,2011
Ουγγαρία,195,0.0538,195,0,0,0,ΦΕΒ,2011
Πολωνία,5685,1.568,4697,32,0,956,ΦΕΒ,2011
Πορτογαλία,112,0.0309,112,0,0,0,ΦΕΒ,2011
Ρουμανία,9236,2.547,3680,160,616,4780,ΦΕΒ,2011
Σλοβακία,141,0.0389,141,0,0,0,ΦΕΒ,2011
Σλοβενία,527,0.1454,527,0,0,0,ΦΕΒ,2011
Σουηδία,2505,0.691,2505,0,0,0,ΦΕΒ,2011
Τσεχία,2331,0.643,1289,0,1042,0,ΦΕΒ,2011
Φινλανδία,338,0.09326,338,0,0,0,ΦΕΒ,2011
Αλβανία,26844,7.406,0,0,0,26844,ΦΕΒ,2011
Ελβετία,6185,1.706,1922,0,4263,0,ΦΕΒ,2011
Νορβηγία,882,0.2433,882,0,0,0,ΦΕΒ,2011
Ισλανδία,0,0.0,0,0,0,0,ΦΕΒ,2011
Ρωσία,3671,1.013,3671,0,0,0,ΦΕΒ,2011
Σερβία - Μαυροβούνιο,9024,2.49,100,7,0,8917,ΦΕΒ,2011
Λοιπά Κράτη Ευρώπης,59714,16.47,2695,30,0,56989,ΦΕΒ,2011
Ιαπωνία,1119,0.3086,1119,0,0,0,ΦΕΒ,2011
Ιράν,0,0.0,0,0,0,0,ΦΕΒ,2011
Ισραήλ,5112,1.41,5112,0,0,0,ΦΕΒ,2011
Κίνα,332,0.09155,332,0,0,0,ΦΕΒ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΦΕΒ,2011
Ν. Κορέα,367,0.10126,367,0,0,0,ΦΕΒ,2011
Τουρκία,29489,8.13,1556,615,0,27318,ΦΕΒ,2011
Λοιπά κράτη Μ. Ανατολής,504,0.139,504,0,0,0,ΦΕΒ,2011
Λοιπά κράτη Ασίας,741,0.2043,741,0,0,0,ΦΕΒ,2011
Αίγυπτος - Σουδάν,193,0.05325,193,0,0,0,ΦΕΒ,2011
Νοτιοαφρικανική Ενωση,1696,0.4678,1696,0,0,0,ΦΕΒ,2011
Λοιπά κράτη Αφρικής,3056,0.843,2346,0,710,0,ΦΕΒ,2011
Αργεντινή,570,0.1572,570,0,0,0,ΦΕΒ,2011
Βραζιλία,1928,0.5317,1928,0,0,0,ΦΕΒ,2011
Μεξικό,558,0.1539,558,0,0,0,ΦΕΒ,2011
Η.Π.Α.,12755,3.518,12755,0,0,0,ΦΕΒ,2011
Καναδάς,2692,0.7427,2692,0,0,0,ΦΕΒ,2011
Λοιπά κράτη Αμερικής,1920,0.53,1304,0,616,0,ΦΕΒ,2011
Αυστραλία,3697,1.02,2560,0,1137,0,ΦΕΒ,2011
Λοιπά κράτη Ωκεανίας,338,0.09326,338,0,0,0,ΦΕΒ,2011
Αυστρία,3522,0.9717,997,0,0,2525,ΜΑΡ,2011
Βέλγιο,7163,1.976,7163,0,0,0,ΜΑΡ,2011
Βουλγαρία,36049,9.945,2508,1085,0,32456,ΜΑΡ,2011
Γαλλία,13444,3.709,9604,0,3840,0,ΜΑΡ,2011
Γερμανία,29432,8.12,20817,33,7100,1482,ΜΑΡ,2011
Δανία,3361,0.9272,1115,0,2246,0,ΜΑΡ,2011
Εσθονία,184,0.05075,184,0,0,0,ΜΑΡ,2011
Ην. Βασίλειο,26592,7.336,25252,0,1340,0,ΜΑΡ,2011
Ιρλανδία,953,0.263,953,0,0,0,ΜΑΡ,2011
Ισπανία,5800,1.6,5800,0,0,0,ΜΑΡ,2011
Ιταλία,13456,3.71,7697,0,5759,0,ΜΑΡ,2011
Κύπρος,21197,5.848,21197,0,0,0,ΜΑΡ,2011
Λεττονία,0,0.0,0,0,0,0,ΜΑΡ,2011
Λιθουανία,0,0.0,0,0,0,0,ΜΑΡ,2011
Λουξεμβούργο,0,0.0,0,0,0,0,ΜΑΡ,2011
Μάλτα,0,0.0,0,0,0,0,ΜΑΡ,2011
Ολλανδία,6907,1.905,6436,0,471,0,ΜΑΡ,2011
Ουγγαρία,195,0.0538,195,0,0,0,ΜΑΡ,2011
Πολωνία,5685,1.568,4697,32,0,956,ΜΑΡ,2011
Πορτογαλία,112,0.0309,112,0,0,0,ΜΑΡ,2011
Ρουμανία,9236,2.547,3680,160,616,4780,ΜΑΡ,2011
Σλοβακία,141,0.0389,141,0,0,0,ΜΑΡ,2011
Σλοβενία,527,0.1454,527,0,0,0,ΜΑΡ,2011
Σουηδία,2505,0.691,2505,0,0,0,ΜΑΡ,2011
Τσεχία,2331,0.643,1289,0,1042,0,ΜΑΡ,2011
Φινλανδία,338,0.09326,338,0,0,0,ΜΑΡ,2011
Αλβανία,26844,7.406,0,0,0,26844,ΜΑΡ,2011
Ελβετία,6185,1.706,1922,0,4263,0,ΜΑΡ,2011
Νορβηγία,882,0.2433,882,0,0,0,ΜΑΡ,2011
Ισλανδία,0,0.0,0,0,0,0,ΜΑΡ,2011
Ρωσία,3671,1.013,3671,0,0,0,ΜΑΡ,2011
Σερβία - Μαυροβούνιο,9024,2.49,100,7,0,8917,ΜΑΡ,2011
Λοιπά Κράτη Ευρώπης,59714,16.47,2695,30,0,56989,ΜΑΡ,2011
Ιαπωνία,1119,0.3086,1119,0,0,0,ΜΑΡ,2011
Ιράν,0,0.0,0,0,0,0,ΜΑΡ,2011
Ισραήλ,5112,1.41,5112,0,0,0,ΜΑΡ,2011
Κίνα,332,0.09155,332,0,0,0,ΜΑΡ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΜΑΡ,2011
Ν. Κορέα,367,0.10126,367,0,0,0,ΜΑΡ,2011
Τουρκία,29489,8.13,1556,615,0,27318,ΜΑΡ,2011
Λοιπά κράτη Μ. Ανατολής,504,0.139,504,0,0,0,ΜΑΡ,2011
Λοιπά κράτη Ασίας,741,0.2043,741,0,0,0,ΜΑΡ,2011
Αίγυπτος - Σουδάν,193,0.05325,193,0,0,0,ΜΑΡ,2011
Νοτιοαφρικανική Ενωση,1696,0.4678,1696,0,0,0,ΜΑΡ,2011
Λοιπά κράτη Αφρικής,3056,0.843,2346,0,710,0,ΜΑΡ,2011
Αργεντινή,570,0.1572,570,0,0,0,ΜΑΡ,2011
Βραζιλία,1928,0.5317,1928,0,0,0,ΜΑΡ,2011
Μεξικό,558,0.1539,558,0,0,0,ΜΑΡ,2011
Η.Π.Α.,12755,3.518,12755,0,0,0,ΜΑΡ,2011
Καναδάς,2692,0.7427,2692,0,0,0,ΜΑΡ,2011
Λοιπά κράτη Αμερικής,1920,0.53,1304,0,616,0,ΜΑΡ,2011
Αυστραλία,3697,1.02,2560,0,1137,0,ΜΑΡ,2011
Λοιπά κράτη Ωκεανίας,338,0.09326,338,0,0,0,ΜΑΡ,2011
Αυστρία,3522,0.9717,997,0,0,2525,ΑΠΡ,2011
Βέλγιο,7163,1.976,7163,0,0,0,ΑΠΡ,2011
Βουλγαρία,36049,9.945,2508,1085,0,32456,ΑΠΡ,2011
Γαλλία,13444,3.709,9604,0,3840,0,ΑΠΡ,2011
Γερμανία,29432,8.12,20817,33,7100,1482,ΑΠΡ,2011
Δανία,3361,0.9272,1115,0,2246,0,ΑΠΡ,2011
Εσθονία,184,0.05075,184,0,0,0,ΑΠΡ,2011
Ην. Βασίλειο,26592,7.336,25252,0,1340,0,ΑΠΡ,2011
Ιρλανδία,953,0.263,953,0,0,0,ΑΠΡ,2011
Ισπανία,5800,1.6,5800,0,0,0,ΑΠΡ,2011
Ιταλία,13456,3.71,7697,0,5759,0,ΑΠΡ,2011
Κύπρος,21197,5.848,21197,0,0,0,ΑΠΡ,2011
Λεττονία,0,0.0,0,0,0,0,ΑΠΡ,2011
Λιθουανία,0,0.0,0,0,0,0,ΑΠΡ,2011
Λουξεμβούργο,0,0.0,0,0,0,0,ΑΠΡ,2011
Μάλτα,0,0.0,0,0,0,0,ΑΠΡ,2011
Ολλανδία,6907,1.905,6436,0,471,0,ΑΠΡ,2011
Ουγγαρία,195,0.0538,195,0,0,0,ΑΠΡ,2011
Πολωνία,5685,1.568,4697,32,0,956,ΑΠΡ,2011
Πορτογαλία,112,0.0309,112,0,0,0,ΑΠΡ,2011
Ρουμανία,9236,2.547,3680,160,616,4780,ΑΠΡ,2011
Σλοβακία,141,0.0389,141,0,0,0,ΑΠΡ,2011
Σλοβενία,527,0.1454,527,0,0,0,ΑΠΡ,2011
Σουηδία,2505,0.691,2505,0,0,0,ΑΠΡ,2011
Τσεχία,2331,0.643,1289,0,1042,0,ΑΠΡ,2011
Φινλανδία,338,0.09326,338,0,0,0,ΑΠΡ,2011
Αλβανία,26844,7.406,0,0,0,26844,ΑΠΡ,2011
Ελβετία,6185,1.706,1922,0,4263,0,ΑΠΡ,2011
Νορβηγία,882,0.2433,882,0,0,0,ΑΠΡ,2011
Ισλανδία,0,0.0,0,0,0,0,ΑΠΡ,2011
Ρωσία,3671,1.013,3671,0,0,0,ΑΠΡ,2011
Σερβία - Μαυροβούνιο,9024,2.49,100,7,0,8917,ΑΠΡ,2011
Λοιπά Κράτη Ευρώπης,59714,16.47,2695,30,0,56989,ΑΠΡ,2011
Ιαπωνία,1119,0.3086,1119,0,0,0,ΑΠΡ,2011
Ιράν,0,0.0,0,0,0,0,ΑΠΡ,2011
Ισραήλ,5112,1.41,5112,0,0,0,ΑΠΡ,2011
Κίνα,332,0.09155,332,0,0,0,ΑΠΡ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΑΠΡ,2011
Ν. Κορέα,367,0.10126,367,0,0,0,ΑΠΡ,2011
Τουρκία,29489,8.13,1556,615,0,27318,ΑΠΡ,2011
Λοιπά κράτη Μ. Ανατολής,504,0.139,504,0,0,0,ΑΠΡ,2011
Λοιπά κράτη Ασίας,741,0.2043,741,0,0,0,ΑΠΡ,2011
Αίγυπτος - Σουδάν,193,0.05325,193,0,0,0,ΑΠΡ,2011
Νοτιοαφρικανική Ενωση,1696,0.4678,1696,0,0,0,ΑΠΡ,2011
Λοιπά κράτη Αφρικής,3056,0.843,2346,0,710,0,ΑΠΡ,2011
Αργεντινή,570,0.1572,570,0,0,0,ΑΠΡ,2011
Βραζιλία,1928,0.5317,1928,0,0,0,ΑΠΡ,2011
Μεξικό,558,0.1539,558,0,0,0,ΑΠΡ,2011
Η.Π.Α.,12755,3.518,12755,0,0,0,ΑΠΡ,2011
Καναδάς,2692,0.7427,2692,0,0,0,ΑΠΡ,2011
Λοιπά κράτη Αμερικής,1920,0.53,1304,0,616,0,ΑΠΡ,2011
Αυστραλία,3697,1.02,2560,0,1137,0,ΑΠΡ,2011
Λοιπά κράτη Ωκεανίας,338,0.09326,338,0,0,0,ΑΠΡ,2011
Αυστρία,3522,0.9717,997,0,0,2525,ΜΑΙ,2011
Βέλγιο,7163,1.976,7163,0,0,0,ΜΑΙ,2011
Βουλγαρία,36049,9.945,2508,1085,0,32456,ΜΑΙ,2011
Γαλλία,13444,3.709,9604,0,3840,0,ΜΑΙ,2011
Γερμανία,29432,8.12,20817,33,7100,1482,ΜΑΙ,2011
Δανία,3361,0.9272,1115,0,2246,0,ΜΑΙ,2011
Εσθονία,184,0.05075,184,0,0,0,ΜΑΙ,2011
Ην. Βασίλειο,26592,7.336,25252,0,1340,0,ΜΑΙ,2011
Ιρλανδία,953,0.263,953,0,0,0,ΜΑΙ,2011
Ισπανία,5800,1.6,5800,0,0,0,ΜΑΙ,2011
Ιταλία,13456,3.71,7697,0,5759,0,ΜΑΙ,2011
Κύπρος,21197,5.848,21197,0,0,0,ΜΑΙ,2011
Λεττονία,0,0.0,0,0,0,0,ΜΑΙ,2011
Λιθουανία,0,0.0,0,0,0,0,ΜΑΙ,2011
Λουξεμβούργο,0,0.0,0,0,0,0,ΜΑΙ,2011
Μάλτα,0,0.0,0,0,0,0,ΜΑΙ,2011
Ολλανδία,6907,1.905,6436,0,471,0,ΜΑΙ,2011
Ουγγαρία,195,0.0538,195,0,0,0,ΜΑΙ,2011
Πολωνία,5685,1.568,4697,32,0,956,ΜΑΙ,2011
Πορτογαλία,112,0.0309,112,0,0,0,ΜΑΙ,2011
Ρουμανία,9236,2.547,3680,160,616,4780,ΜΑΙ,2011
Σλοβακία,141,0.0389,141,0,0,0,ΜΑΙ,2011
Σλοβενία,527,0.1454,527,0,0,0,ΜΑΙ,2011
Σουηδία,2505,0.691,2505,0,0,0,ΜΑΙ,2011
Τσεχία,2331,0.643,1289,0,1042,0,ΜΑΙ,2011
Φινλανδία,338,0.09326,338,0,0,0,ΜΑΙ,2011
Αλβανία,26844,7.406,0,0,0,26844,ΜΑΙ,2011
Ελβετία,6185,1.706,1922,0,4263,0,ΜΑΙ,2011
Νορβηγία,882,0.2433,882,0,0,0,ΜΑΙ,2011
Ισλανδία,0,0.0,0,0,0,0,ΜΑΙ,2011
Ρωσία,3671,1.013,3671,0,0,0,ΜΑΙ,2011
Σερβία - Μαυροβούνιο,9024,2.49,100,7,0,8917,ΜΑΙ,2011
Λοιπά Κράτη Ευρώπης,59714,16.47,2695,30,0,56989,ΜΑΙ,2011
Ιαπωνία,1119,0.3086,1119,0,0,0,ΜΑΙ,2011
Ιράν,0,0.0,0,0,0,0,ΜΑΙ,2011
Ισραήλ,5112,1.41,5112,0,0,0,ΜΑΙ,2011
Κίνα,332,0.09155,332,0,0,0,ΜΑΙ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΜΑΙ,2011
Ν. Κορέα,367,0.10126,367,0,0,0,ΜΑΙ,2011
Τουρκία,29489,8.13,1556,615,0,27318,ΜΑΙ,2011
Λοιπά κράτη Μ. Ανατολής,504,0.139,504,0,0,0,ΜΑΙ,2011
Λοιπά κράτη Ασίας,741,0.2043,741,0,0,0,ΜΑΙ,2011
Αίγυπτος - Σουδάν,193,0.05325,193,0,0,0,ΜΑΙ,2011
Νοτιοαφρικανική Ενωση,1696,0.4678,1696,0,0,0,ΜΑΙ,2011
Λοιπά κράτη Αφρικής,3056,0.843,2346,0,710,0,ΜΑΙ,2011
Αργεντινή,570,0.1572,570,0,0,0,ΜΑΙ,2011
Βραζιλία,1928,0.5317,1928,0,0,0,ΜΑΙ,2011
Μεξικό,558,0.1539,558,0,0,0,ΜΑΙ,2011
Η.Π.Α.,12755,3.518,12755,0,0,0,ΜΑΙ,2011
Καναδάς,2692,0.7427,2692,0,0,0,ΜΑΙ,2011
Λοιπά κράτη Αμερικής,1920,0.53,1304,0,616,0,ΜΑΙ,2011
Αυστραλία,3697,1.02,2560,0,1137,0,ΜΑΙ,2011
Λοιπά κράτη Ωκεανίας,338,0.09326,338,0,0,0,ΜΑΙ,2011
Αυστρία,3522,0.9717,997,0,0,2525,ΙΟΥΝ,2011
Βέλγιο,7163,1.976,7163,0,0,0,ΙΟΥΝ,2011
Βουλγαρία,36049,9.945,2508,1085,0,32456,ΙΟΥΝ,2011
Γαλλία,13444,3.709,9604,0,3840,0,ΙΟΥΝ,2011
Γερμανία,29432,8.12,20817,33,7100,1482,ΙΟΥΝ,2011
Δανία,3361,0.9272,1115,0,2246,0,ΙΟΥΝ,2011
Εσθονία,184,0.05075,184,0,0,0,ΙΟΥΝ,2011
Ην. Βασίλειο,26592,7.336,25252,0,1340,0,ΙΟΥΝ,2011
Ιρλανδία,953,0.263,953,0,0,0,ΙΟΥΝ,2011
Ισπανία,5800,1.6,5800,0,0,0,ΙΟΥΝ,2011
Ιταλία,13456,3.71,7697,0,5759,0,ΙΟΥΝ,2011
Κύπρος,21197,5.848,21197,0,0,0,ΙΟΥΝ,2011
Λεττονία,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Λιθουανία,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Λουξεμβούργο,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Μάλτα,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Ολλανδία,6907,1.905,6436,0,471,0,ΙΟΥΝ,2011
Ουγγαρία,195,0.0538,195,0,0,0,ΙΟΥΝ,2011
Πολωνία,5685,1.568,4697,32,0,956,ΙΟΥΝ,2011
Πορτογαλία,112,0.0309,112,0,0,0,ΙΟΥΝ,2011
Ρουμανία,9236,2.547,3680,160,616,4780,ΙΟΥΝ,2011
Σλοβακία,141,0.0389,141,0,0,0,ΙΟΥΝ,2011
Σλοβενία,527,0.1454,527,0,0,0,ΙΟΥΝ,2011
Σουηδία,2505,0.691,2505,0,0,0,ΙΟΥΝ,2011
Τσεχία,2331,0.643,1289,0,1042,0,ΙΟΥΝ,2011
Φινλανδία,338,0.09326,338,0,0,0,ΙΟΥΝ,2011
Αλβανία,26844,7.406,0,0,0,26844,ΙΟΥΝ,2011
Ελβετία,6185,1.706,1922,0,4263,0,ΙΟΥΝ,2011
Νορβηγία,882,0.2433,882,0,0,0,ΙΟΥΝ,2011
Ισλανδία,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Ρωσία,3671,1.013,3671,0,0,0,ΙΟΥΝ,2011
Σερβία - Μαυροβούνιο,9024,2.49,100,7,0,8917,ΙΟΥΝ,2011
Λοιπά Κράτη Ευρώπης,59714,16.47,2695,30,0,56989,ΙΟΥΝ,2011
Ιαπωνία,1119,0.3086,1119,0,0,0,ΙΟΥΝ,2011
Ιράν,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Ισραήλ,5112,1.41,5112,0,0,0,ΙΟΥΝ,2011
Κίνα,332,0.09155,332,0,0,0,ΙΟΥΝ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΙΟΥΝ,2011
Ν. Κορέα,367,0.10126,367,0,0,0,ΙΟΥΝ,2011
Τουρκία,29489,8.13,1556,615,0,27318,ΙΟΥΝ,2011
Λοιπά κράτη Μ. Ανατολής,504,0.139,504,0,0,0,ΙΟΥΝ,2011
Λοιπά κράτη Ασίας,741,0.2043,741,0,0,0,ΙΟΥΝ,2011
Αίγυπτος - Σουδάν,193,0.05325,193,0,0,0,ΙΟΥΝ,2011
Νοτιοαφρικανική Ενωση,1696,0.4678,1696,0,0,0,ΙΟΥΝ,2011
Λοιπά κράτη Αφρικής,3056,0.843,2346,0,710,0,ΙΟΥΝ,2011
Αργεντινή,570,0.1572,570,0,0,0,ΙΟΥΝ,2011
Βραζιλία,1928,0.5317,1928,0,0,0,ΙΟΥΝ,2011
Μεξικό,558,0.1539,558,0,0,0,ΙΟΥΝ,2011
Η.Π.Α.,12755,3.518,12755,0,0,0,ΙΟΥΝ,2011
Καναδάς,2692,0.7427,2692,0,0,0,ΙΟΥΝ,2011
Λοιπά κράτη Αμερικής,1920,0.53,1304,0,616,0,ΙΟΥΝ,2011
Αυστραλία,3697,1.02,2560,0,1137,0,ΙΟΥΝ,2011
Λοιπά κράτη Ωκεανίας,338,0.09326,338,0,0,0,ΙΟΥΝ,2011
Αυστρία,3522,0.9717,997,0,0,2525,ΙΟΥΛ,2011
Βέλγιο,7163,1.976,7163,0,0,0,ΙΟΥΛ,2011
Βουλγαρία,36049,9.945,2508,1085,0,32456,ΙΟΥΛ,2011
Γαλλία,13444,3.709,9604,0,3840,0,ΙΟΥΛ,2011
Γερμανία,29432,8.12,20817,33,7100,1482,ΙΟΥΛ,2011
Δανία,3361,0.9272,1115,0,2246,0,ΙΟΥΛ,2011
Εσθονία,184,0.05075,184,0,0,0,ΙΟΥΛ,2011
Ην. Βασίλειο,26592,7.336,25252,0,1340,0,ΙΟΥΛ,2011
Ιρλανδία,953,0.263,953,0,0,0,ΙΟΥΛ,2011
Ισπανία,5800,1.6,5800,0,0,0,ΙΟΥΛ,2011
Ιταλία,13456,3.71,7697,0,5759,0,ΙΟΥΛ,2011
Κύπρος,21197,5.848,21197,0,0,0,ΙΟΥΛ,2011
Λεττονία,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Λιθουανία,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Λουξεμβούργο,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Μάλτα,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Ολλανδία,6907,1.905,6436,0,471,0,ΙΟΥΛ,2011
Ουγγαρία,195,0.0538,195,0,0,0,ΙΟΥΛ,2011
Πολωνία,5685,1.568,4697,32,0,956,ΙΟΥΛ,2011
Πορτογαλία,112,0.0309,112,0,0,0,ΙΟΥΛ,2011
Ρουμανία,9236,2.547,3680,160,616,4780,ΙΟΥΛ,2011
Σλοβακία,141,0.0389,141,0,0,0,ΙΟΥΛ,2011
Σλοβενία,527,0.1454,527,0,0,0,ΙΟΥΛ,2011
Σουηδία,2505,0.691,2505,0,0,0,ΙΟΥΛ,2011
Τσεχία,2331,0.643,1289,0,1042,0,ΙΟΥΛ,2011
Φινλανδία,338,0.09326,338,0,0,0,ΙΟΥΛ,2011
Αλβανία,26844,7.406,0,0,0,26844,ΙΟΥΛ,2011
Ελβετία,6185,1.706,1922,0,4263,0,ΙΟΥΛ,2011
Νορβηγία,882,0.2433,882,0,0,0,ΙΟΥΛ,2011
Ισλανδία,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Ρωσία,3671,1.013,3671,0,0,0,ΙΟΥΛ,2011
Σερβία - Μαυροβούνιο,9024,2.49,100,7,0,8917,ΙΟΥΛ,2011
Λοιπά Κράτη Ευρώπης,59714,16.47,2695,30,0,56989,ΙΟΥΛ,2011
Ιαπωνία,1119,0.3086,1119,0,0,0,ΙΟΥΛ,2011
Ιράν,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Ισραήλ,5112,1.41,5112,0,0,0,ΙΟΥΛ,2011
Κίνα,332,0.09155,332,0,0,0,ΙΟΥΛ,2011
Λίβανος - Συρία,0,0.0,0,0,0,0,ΙΟΥΛ,2011
Ν. Κορέα,367,0.10126,367,0,0,0,ΙΟΥΛ,2011
Τουρκία,29489,8.13,1556,615,0,27318,ΙΟΥΛ,2011
Λοιπά κράτη Μ. Ανατολής,504,0.139,504,0,0,0,ΙΟΥΛ,2011
Λοιπά κράτη Ασίας,741,0.2043,741,0,0,0,ΙΟΥΛ,2011
Αίγυπτος - Σουδάν,193,0.05325,193,0,0,0,ΙΟΥΛ,2011
Νοτιοαφρικανική Ενωση,1696,0.4678,1696,0,0,0,ΙΟΥΛ,2011
Λοιπά κράτη Αφρικής,3056,0.843,2346,0,710,0,ΙΟΥΛ,2011
Αργεντινή,570,0.1572,570,0,0,0,ΙΟΥΛ,2011
Βραζιλία,1928,0.5317,1928,0,0,0,ΙΟΥΛ,2011
Μεξικό,558,0.1539,558,0,0,0,ΙΟΥΛ,2011
Η.Π.Α.,12755,3.518,12755,0,0,0,ΙΟΥΛ,2011
Καναδάς,2692,0.7427,2692,0,0,0,ΙΟΥΛ,2011
